,actual,temperature,precipitation,air_density,cloud_cover
2012/1/1 0:00,26334.03052,16.663,0.012,1.203,0.125
2012/1/1 1:00,25853.05897,16.506,0.017,1.205,0.23
2012/1/1 2:00,25295.34198,16.945,0.037,1.209,0.345
2012/1/1 3:00,24967.93284,16.38,0.032,1.217,0.279
2012/1/1 4:00,24985.61219,14.259,0.028,1.229,0.154
2012/1/1 5:00,25412.35066,12.112,0.009,1.241,0.049
2012/1/1 6:00,26239.80044,10.8,0.015,1.249,0.012
2012/1/1 7:00,26865.82072,10.11,0.001,1.255,0.001
2012/1/1 8:00,27697.86274,10.927,0,1.257,0
2012/1/1 9:00,28449.24984,12.745,0,1.252,0
2012/1/1 10:00,28699.0344,14.598,0,1.246,0
2012/1/1 11:00,28659.74206,16.037,0,1.24,0
2012/1/1 12:00,28495.01047,16.941,0,1.235,0
2012/1/1 13:00,28095.39393,17.355,0,1.232,0
2012/1/1 14:00,27599.0566,17.237,0,1.232,0
2012/1/1 15:00,27354.14906,16.55,0,1.233,0
2012/1/1 16:00,27488.13052,15.036,0,1.236,0
2012/1/1 17:00,29255.14677,12.067,0,1.243,0
2012/1/1 18:00,32113.25066,10.588,0,1.251,0
2012/1/1 19:00,32539.79117,9.455,0,1.256,0
2012/1/1 20:00,32498.22427,8.608,0,1.26,0
2012/1/1 21:00,32223.45133,7.76,0,1.265,0
2012/1/1 22:00,31260.83911,7.022,0,1.269,0
2012/1/1 23:00,29963.88558,6.456,0,1.272,0
2012/1/2 0:00,28939.36905,5.947,0,1.276,0
2012/1/2 1:00,28576.54494,5.472,0.001,1.279,0
2012/1/2 2:00,28589.5479,5.024,0.001,1.282,0
2012/1/2 3:00,28972.14219,4.601,0.001,1.284,0
2012/1/2 4:00,29917.51268,4.18,0,1.286,0
2012/1/2 5:00,31804.14835,3.737,0,1.288,0
2012/1/2 6:00,34346.08128,3.31,0,1.291,0
2012/1/2 7:00,35723.75398,3.5,0,1.293,0
2012/1/2 8:00,35931.77499,6.21,0,1.291,0
2012/1/2 9:00,35864.91162,9.299,0,1.281,0
2012/1/2 10:00,35536.00802,12.013,0,1.27,0
2012/1/2 11:00,34616.4303,13.27,0,1.264,0
2012/1/2 12:00,33596.47954,14.086,0,1.259,0
2012/1/2 13:00,32448.27537,14.538,0,1.256,0
2012/1/2 14:00,31489.86968,14.604,0,1.253,0
2012/1/2 15:00,30989.43404,14.205,0,1.252,0
2012/1/2 16:00,31187.38468,12.645,0,1.253,0
2012/1/2 17:00,33417.42602,8.807,0,1.257,0
2012/1/2 18:00,36684.10738,7.516,0,1.263,0
2012/1/2 19:00,37373.32823,6.493,0,1.268,0
2012/1/2 20:00,37578.3425,5.518,0,1.272,0
2012/1/2 21:00,37057.3567,4.681,0,1.276,0
2012/1/2 22:00,35459.70834,3.928,0,1.281,0
2012/1/2 23:00,33774.74892,3.223,0,1.285,0
2012/1/3 0:00,32830.23636,2.549,0,1.289,0
2012/1/3 1:00,32613.2302,1.954,0.002,1.292,0
2012/1/3 2:00,32856.84173,1.431,0.002,1.295,0
2012/1/3 3:00,33551.04281,0.985,0.002,1.297,0
2012/1/3 4:00,35033.81628,0.6,0,1.298,0
2012/1/3 5:00,38273.43755,0.227,0,1.301,0
2012/1/3 6:00,42876.81,-0.14,0,1.303,0
2012/1/3 7:00,44248.20995,0.173,0,1.305,0
2012/1/3 8:00,42490.65292,3.187,0,1.304,0
2012/1/3 9:00,40345.69847,6.19,0,1.293,0
2012/1/3 10:00,38451.72423,9.285,0,1.28,0
2012/1/3 11:00,36708.07182,10.969,0,1.272,0
2012/1/3 12:00,35210.28931,12.167,0,1.265,0
2012/1/3 13:00,34063.21576,12.91,0,1.259,0
2012/1/3 14:00,33086.25688,13.156,0,1.255,0
2012/1/3 15:00,32537.33614,12.793,0,1.254,0
2012/1/3 16:00,32676.00762,11.137,0,1.254,0
2012/1/3 17:00,34758.26516,7.2,0,1.256,0
2012/1/3 18:00,37953.91224,6.131,0,1.259,0
2012/1/3 19:00,38444.38649,5.863,0,1.261,0
2012/1/3 20:00,38318.25622,5.598,0,1.261,0
2012/1/3 21:00,37218.18496,5.493,0,1.26,0
2012/1/3 22:00,34934.30435,5.55,0,1.258,0
2012/1/3 23:00,32585.28354,5.683,0,1.255,0
2012/1/4 0:00,31141.53473,5.871,0,1.252,0.011
2012/1/4 1:00,30548.28832,6.158,0,1.25,0.041
2012/1/4 2:00,30375.18205,6.449,0,1.248,0.123
2012/1/4 3:00,30621.027,6.877,0,1.247,0.191
2012/1/4 4:00,31734.34255,7.235,0,1.246,0.249
2012/1/4 5:00,34537.43971,7.457,0,1.246,0.237
2012/1/4 6:00,38791.43748,7.623,0,1.246,0.195
2012/1/4 7:00,39876.44825,8.156,0,1.247,0.175
2012/1/4 8:00,38248.04331,11.583,0.001,1.246,0.158
2012/1/4 9:00,36674.92756,14.052,0,1.241,0.079
2012/1/4 10:00,35317.72668,17.547,0,1.227,0.018
2012/1/4 11:00,34101.98805,19.729,0,1.216,0.065
2012/1/4 12:00,33179.87499,20.728,0,1.211,0.138
2012/1/4 13:00,32542.61031,21.244,0,1.207,0.268
2012/1/4 14:00,31992.08109,21.369,0,1.204,0.322
2012/1/4 15:00,31582.56647,20.998,0,1.203,0.529
2012/1/4 16:00,31639.30896,19.514,0,1.204,0.665
2012/1/4 17:00,32990.29671,17.941,0,1.206,0.697
2012/1/4 18:00,35451.48609,17.145,0,1.209,0.734
2012/1/4 19:00,35583.35559,16.4,0,1.212,0.743
2012/1/4 20:00,35266.38206,15.668,0,1.215,0.732
2012/1/4 21:00,34180.17658,15.026,0,1.219,0.703
2012/1/4 22:00,32175.03584,14.562,0,1.222,0.637
