,no battery,trivial,osc barB,osc best theta barB,trivial second,cmh,cmh trivial first,best theta hat B,best theta barB trivial first,best theta hat B trivialfirst,opt,fake opt
0,1755858566.1306727,1682637345.8707368,1722326585.6375372,1682522877.4953039,1717877003.2719483,1739911093.0668364,1755341153.1268778,1682522877.4953039,1682522877.4953039,1682522877.4953039,1669344006.75867,1680040750.15611
0,1797304267.2864366,1683890470.5469122,1734563145.604978,1683748330.0723262,1707002610.3908103,1757194089.8388336,1790291513.972945,1683748330.0723262,1683748330.0723262,1683748330.0723262,1669676166.6458902,1681428856.3706028
1,1854968664.3782434,1685543919.4023564,1757861288.0782757,1685307046.4782906,1725774571.0677097,1785487261.995256,1838290754.815309,1685307046.4782906,1685307046.4782906,1685307046.4782906,1669969601.0451846,1682715978.3443751
2,1915024832.493958,1687854914.3296983,1780098912.1077344,1687417363.8958368,1749983841.5128443,1811017130.0097814,1885293907.7144399,1687417363.8958368,1687417363.8958368,1687417363.8958368,1670362321.1152146,1684386492.9372368
3,1967691311.7990637,1690672602.545981,1799365816.467538,1689704778.3293602,1765835838.7978883,1832571117.94516,1932653007.1838288,1689704778.3293602,1689704778.3293602,1689704778.3293602,1670686309.3209157,1686356329.7568197
4,2026687344.6667845,1694234571.6019268,1818506938.726489,1692536451.2761207,1786587712.9695752,1851182506.4305642,1976877870.4595046,1692536451.2761207,1692536451.2761207,1692536451.2761207,1670991891.613023,1688595402.9063756
5,2083248375.3316908,1698589181.609439,1835743810.4370914,1695096932.2785068,1811508623.4777076,1866228670.0634596,2023231432.4489713,1695096932.2785068,1695096932.2785068,1695096932.2785068,1671428154.3612063,1691380656.408279
6,2142995735.0628757,1703357862.82738,1845574457.5195663,1697709386.472693,1844838603.9431245,1878435367.9802306,2056086901.1763523,1697709386.472693,1697709386.472693,1697709386.472693,1671651392.5557356,1694240925.4549975
7,2194239030.6486673,1707833741.041199,1860318592.7429094,1699949704.864475,1874198529.5059752,1885048089.558646,2095146031.1986036,1699949704.864475,1699949704.864475,1699949704.864475,1672159407.2576373,1697443944.0569236
8,2233572799.601741,1714218161.6793454,1866993724.8085968,1703446424.531076,1886260164.4862266,1887989084.587527,2120389222.9822705,1703446424.531076,1703446424.531076,1703446424.531076,1672402426.9504507,1701532369.1167037
9,2301270588.269045,1719860465.6955647,1869793650.2059157,1706257310.2354383,1926432189.6822753,1890759520.4130433,2162040748.772271,1706257310.2354383,1706257310.2354383,1706257310.2354383,1672751669.804972,1705588898.6120143
