,no battery,trivial,osc barB,osc best theta barB,trivial second,cmh,cmh trivial first,best theta hat B,best theta barB trivial first,best theta hat B trivialfirst,opt,fake opt
0,1687311690.165848,1685736007.8931472,1683281181.602384,1677131311.5432203,1685704173.2636602,1690206450.2938673,1685766515.3179164,1677131311.5432203,1677131311.5432203,1677131311.5432203,1668967825.6790195,1683131809.906755
0,1693464083.384465,1688363706.9214394,1687096317.545328,1681083699.2452319,1688268137.6108794,1693143593.4314208,1689639133.409311,1681083699.2452319,1681083699.2452319,1681083699.2452319,1668969764.3549645,1685212016.1061547
1,1701944920.473756,1691695972.7841437,1692759696.4081182,1685913449.7836373,1691528997.1512384,1698663317.3678207,1695544659.3108718,1685913449.7836373,1685913449.7836373,1685913449.7836373,1668988872.9329932,1687777171.427138
2,1710607144.7174737,1695740640.7753594,1697828515.216305,1690186681.3618426,1695451377.1249897,1703687770.6585858,1701122215.986168,1690186681.3618426,1690186681.3618426,1690186681.3618426,1669007922.7477725,1690783659.688962
3,1726601277.7578096,1700197729.6215317,1708723220.367568,1698307166.7030542,1700171013.450297,1716598527.0237243,1714813510.5533977,1698307166.7030542,1698307166.7030542,1698307166.7030542,1669053827.544766,1694094287.0345213
4,1733852869.1673665,1705074005.5076687,1711044024.910951,1699064607.7847612,1704577984.1423924,1720008386.1067452,1718983744.4300716,1699064607.7847612,1699064607.7847612,1699064607.7847612,1669092823.0534403,1697724969.171257
5,1751689287.16005,1710377835.3236408,1722746783.6894655,1705221069.051841,1710101269.6678352,1733584204.7963188,1734746970.4957023,1705221069.051841,1705221069.051841,1705221069.051841,1669184356.6174693,1701671677.4822671
6,1770031092.4665596,1715793985.356135,1729916582.6587257,1709244708.8962927,1715447447.6729612,1746091592.8392363,1751439734.956062,1709244708.8962927,1709244708.8962927,1709244708.8962927,1669311403.2013717,1705905947.1337557
7,1793604081.9384704,1721686268.127801,1741234854.1512194,1712834285.6109397,1720609790.897435,1764188165.317809,1773627471.7033863,1712834285.6109397,1712834285.6109397,1712834285.6109397,1669353009.4374418,1710259192.9233186
8,1809882465.4254901,1727622836.9161944,1746046398.816301,1714091514.6305177,1728897415.2502885,1774492542.8759432,1788709375.7191732,1714091514.6305177,1714091514.6305177,1714091514.6305177,1669512847.038377,1714754942.3897872
9,1838985979.929863,1733470095.5812552,1758305962.4221847,1717818809.014305,1735656263.925886,1793402576.025427,1816063221.2777405,1717818809.014305,1717818809.014305,1717818809.014305,1669785311.176436,1719392406.285354
