,no battery,trivial,best theta hat B trivialfirst,theory
0,1755858566.1306727,1682637345.8707368,1682522877.4953039,1722326585.6375372
1,1797304267.2864366,1683890470.5469122,1683748330.0723262,1734563145.604978
2,1854968664.3782434,1685543919.4023564,1685307046.4782906,1757861288.0782757
3,1915024832.493958,1687854914.3296983,1687417363.8958368,1780098912.1077344
4,1967691311.7990637,1690672602.545981,1689704778.3293602,1799365816.467538
5,2026687344.6667845,1694234571.6019268,1692536451.2761207,1818506938.726489
6,2083248375.3316908,1698589181.609439,1695096932.2785068,1835743810.4370914
7,2142995735.0628757,1703357862.82738,1697709386.472693,1845574457.5195663
8,2194239030.6486673,1707833741.041199,1699949704.864475,1860318592.7429094
9,2233572799.601741,1714218161.6793454,1703446424.531076,1866993724.8085968
10,2301270588.269045,1719860465.6955647,1706257310.2354383,1869793650.2059157
