,no battery,trivial,osc barB,osc best theta barB,trivial second,cmh,cmh trivial first,best theta hat B,best theta barB trivial first,best theta hat B trivialfirst,opt,fake opt
0,1856887863.5013745,1682543700.5045385,1813967553.8989558,1682444047.502101,1837213081.865824,1836895683.9760668,1857104667.0094378,1682444047.502101,1682444047.502101,1682444047.502101,1669753051.9633565,1679511354.3976007
0,1950622620.7456827,1682713771.0879407,1871477305.10659,1682645008.8710341,1913058320.3239896,1890350723.2416406,1949858686.8582323,1682645008.8710341,1682645008.8710341,1682645008.8710341,1670119772.6046786,1679646827.0296865
1,2044110912.0689123,1683007701.3182662,1926269404.5972521,1682947828.1664853,1991998996.3055131,1935980358.8442872,2038741489.0378988,1682947828.1664853,1682947828.1664853,1682947828.1664853,1670492507.9134893,1679858047.065952
2,2134180198.366533,1683646188.9652224,1974615042.7879026,1683590042.7611954,2068866360.3980436,1972118835.5720344,2124737112.9332008,1683590042.7611954,1683590042.7611954,1683590042.7611954,1670858361.2346454,1680262180.4601178
3,2222718008.907118,1684424425.7240274,2022138671.0328753,1684360438.524488,2142458263.120715,1998360388.7153146,2209640468.113048,1684360438.524488,1684360438.524488,1684360438.524488,1671207419.3256242,1680806578.359087
4,2304026465.1531672,1685624928.5774086,2060083841.2314239,1685547099.4525588,2205335344.8715744,2020394476.145879,2281115158.6342177,1685547099.4525588,1685547099.4525588,1685547099.4525588,1671469489.8477416,1681559772.2638428
5,2382193951.911438,1687463352.8860905,2093816986.1848757,1687395109.4951072,2266932945.9672227,2038314902.4466703,2352216980.3183475,1687395109.4951072,1687395109.4951072,1687395109.4951072,1671933888.943248,1682686831.9451227
6,2440346751.0688524,1690442195.1748135,2115083066.7263243,1690038343.1912723,2294735760.4642506,2042236452.3749304,2402211888.478445,1690038343.1912723,1690038343.1912723,1690038343.1912723,1672088087.9673054,1684523854.8026178
7,2522022572.7964716,1692664243.5335915,2140783268.3612165,1692009351.179628,2359619435.6994677,2037403623.3151176,2471636976.565043,1692009351.179628,1692009351.179628,1692009351.179628,1672533833.0705466,1685850242.802213
8,2586201621.6270175,1695553263.938477,2159401217.2668147,1693851161.6971505,2409719322.793717,2018178397.980709,2530650584.1945186,1693851161.6971505,1693851161.6971505,1693851161.6971505,1672874693.4393275,1687635764.8936765
9,2640106662.5170164,1699832519.8622718,2167062231.2032638,1697216064.523119,2435972312.4679074,2004013500.0212975,2561567606.4401026,1697216064.523119,1697216064.523119,1697216064.523119,1673158246.25539,1690256648.256405
