,no battery,trivial,osc barB,osc best theta barB,trivial second,cmh,cmh trivial first,best theta hat B,best theta barB trivial first,best theta hat B trivialfirst,opt,fake opt
0,2318712377.497526,1682472848.696511,2051571512.658155,1682447574.942359,2318146311.835545,1991018250.068431,2292122936.4256096,1682447574.942359,1682447574.942359,1682447574.942359,1672064769.7059224,1680068537.2673287
1,1955255235.4416468,1683661276.0570052,1853983331.6568022,1683575044.8917785,1911437143.4970496,1877868020.327399,1948607349.511738,1683575044.8917785,1683575044.8917785,1683575044.8917785,1670252054.7792878,1680469762.854275
2,2071014312.707523,1684765529.8018415,1910819670.6380587,1684680287.8818896,2000881461.9756942,1926697615.2191412,2051083333.7101178,1684680287.8818896,1684680287.8818896,1684680287.8818896,1670795447.7211058,1681241653.4046025
3,2181181667.1743727,1686484392.1402528,1960792422.6377702,1686384913.7454634,2085146730.0720448,1966390319.653241,2144183066.0301867,1686384913.7454634,1686384913.7454634,1686384913.7454634,1671334883.1791582,1682360524.7202942
4,2290706585.134343,1688045290.4268231,2014955511.2482302,1687924105.172882,2175260331.871744,2003710802.5108783,2238454460.272307,1687924105.172882,1687924105.172882,1687924105.172882,1671837740.5594442,1683400535.0574145
5,2379346723.382859,1691152010.2151406,2045612041.097732,1690726517.8772926,2233143915.3255773,2018423497.3938417,2305781975.5954614,1690726517.8772926,1690726517.8772926,1690726517.8772926,1672340200.9981337,1685424784.1358824
6,2461665170.791465,1694907741.6446362,2072818660.9254768,1694115369.4884765,2279586676.7546525,2023509722.6921418,2377664496.8366585,1694115369.4884765,1694115369.4884765,1694115369.4884765,1672796645.6515236,1687846761.8692594
7,2541269571.96598,1698212376.9413633,2111910781.7434204,1696631475.6490905,2331802933.35478,2033871373.9823687,2436619088.4897203,1696631475.6490905,1696631475.6490905,1696631475.6490905,1673196006.0524287,1689973251.471522
8,2633706990.2886953,1702143291.553519,2127333634.9072618,1699149274.8234766,2405305771.3800316,2020921723.703764,2499239791.0289426,1699149274.8234766,1699149274.8234766,1699149274.8234766,1673640866.7799172,1692518288.4866683
9,2697603313.3470817,1706895464.4024327,2145133313.9007409,1702699654.6767952,2441228201.0880523,2006018342.8583648,2541094503.0933723,1702699654.6767952,1702699654.6767952,1702699654.6767952,1674088994.989686,1695660922.6839054
10,2743948893.948389,1715818832.731733,2125082141.4141662,1706750956.7529926,2440508401.9693084,1973137749.334274,2559146639.6100173,1706750956.7529926,1706750956.7529926,1706750956.7529926,1674507763.5411484,1700651264.6554034
