,no battery,trivial,best theta hat B trivialfirst,theory
0,1856887863.5013745,1682543700.5045385,1682444047.502101,1813967553.8989558
1,1950622620.7456827,1682713771.0879407,1682645008.8710341,1871477305.10659
2,2044110912.0689123,1683007701.3182662,1682947828.1664853,1926269404.5972521
3,2134180198.366533,1683646188.9652224,1683590042.7611954,1974615042.7879026
4,2222718008.907118,1684424425.7240274,1684360438.524488,2022138671.0328753
5,2304026465.1531672,1685624928.5774086,1685547099.4525588,2060083841.2314239
6,2382193951.911438,1687463352.8860905,1687395109.4951072,2093816986.1848757
7,2440346751.0688524,1690442195.1748135,1690038343.1912723,2115083066.7263243
8,2522022572.7964716,1692664243.5335915,1692009351.179628,2140783268.3612165
9,2586201621.6270175,1695553263.938477,1693851161.6971505,2159401217.2668147
10,2640106662.5170164,1699832519.8622718,1697216064.523119,2167062231.2032638
