,no battery,trivial,best theta hat B trivialfirst,theory
0,1687311690.165848,1685736007.8931472,1677131311.5432203,1683281181.602384
1,1693464083.384465,1688363706.9214394,1681083699.2452319,1687096317.545328
2,1701944920.473756,1691695972.7841437,1685913449.7836373,1692759696.4081182
3,1710607144.7174737,1695740640.7753594,1690186681.3618426,1697828515.216305
4,1726601277.7578096,1700197729.6215317,1698307166.7030542,1708723220.367568
5,1733852869.1673665,1705074005.5076687,1699064607.7847612,1711044024.910951
6,1751689287.16005,1710377835.3236408,1705221069.051841,1722746783.6894655
7,1770031092.4665596,1715793985.356135,1709244708.8962927,1729916582.6587257
8,1793604081.9384704,1721686268.127801,1712834285.6109397,1741234854.1512194
9,1809882465.4254901,1727622836.9161944,1714091514.6305177,1746046398.816301
10,1838985979.929863,1733470095.5812552,1717818809.014305,1758305962.4221847
